wage,lnwage,educ,exper,lnexper,lneduc,male
5.6339436,1.7288096,1,32,3.4965076,0,1
8.2559805,2.1109378,1,33,3.5263605,0,1
7.7466726,2.0472634,1,4,1.6094379,0,1
12.676373,2.5397398,1,34,3.5553482,0,1
7.8578691,2.0615156,1,36,3.6109178,0,1
4.5071549,1.5056661,1,13,2.6390574,0,0
7.7466726,2.0472634,1,19,2.9957323,0,1
8.6074142,2.1526239,1,21,3.0910425,0,1
7.7517433,2.0479178,1,37,3.6375861,0,1
11.737383,2.4627788,1,32,3.4965076,0,1
8.0484915,2.0854847,1,21,3.0910425,0,1
8.1543922,2.0985568,1,40,3.713572,0,1
9.8594017,2.2884254,1,21,3.0910425,0,1
8.4509153,2.1342747,1,41,3.7376697,0,0
9.7734098,2.2796655,1,37,3.6375861,0,0
9.9015083,2.2926872,1,26,3.2958369,0,1
7.3554263,1.9954383,1,18,2.9444389,0,1
4.8926353,1.5877311,1,16,2.8332133,0,0
9.0143099,2.1988132,1,27,3.3322046,0,1
6.5966063,1.8865553,1,39,3.6888795,0,0
9.155158,2.2143176,1,21,3.0910425,0,1
6.5007043,1.8719106,1,18,2.9444389,0,1
10.95489,2.393786,1,35,3.583519,0,1
13.380616,2.5938072,1,37,3.6375861,0,1
11.267887,2.4219568,1,24,3.2188759,0,1
7.8875213,2.0652819,1,29,3.4011974,0,0
9.6370087,2.2656107,1,35,3.583519,0,1
11.737383,2.4627788,1,23,3.1780539,0,1
7.3241272,1.991174,1,20,3.0445225,0,1
9.6370087,2.2656107,1,27,3.3322046,0,1
11.119626,2.4087117,1,30,3.4339871,0,1
8.4509153,2.1342747,1,28,3.3672957,0,1
5.3294063,1.6732398,1,32,3.4965076,0,0
8.4509153,2.1342747,1,29,3.4011974,0,1
7.8008447,2.0542321,1,15,2.7725887,0,1
9.6370087,2.2656107,1,33,3.5263605,0,1
7.5119252,2.0164919,1,19,2.9957323,0,0
11.267887,2.4219568,1,37,3.6375861,0,1
10.463038,2.3478489,1,18,2.9444389,0,1
5.9626918,1.785522,1,13,2.6390574,0,0
8.4509153,2.1342747,1,14,2.7080503,0,0
6.0846591,1.8057708,1,28,3.3672957,0,1
7.5454602,2.020946,1,9,2.3025851,0,1
4.9694271,1.6033045,1,19,2.9957323,0,0
10.141099,2.3165963,1,34,3.5553482,0,1
8.1692181,2.1003733,1,34,3.5553482,0,1
9.7185526,2.2740366,1,33,3.5263605,0,1
9.6370087,2.2656107,1,45,3.8286414,0,1
11.267887,2.4219568,2,17,2.8903718,.69314718,1
9.8594017,2.2884254,2,24,3.2188759,.69314718,1
10.563644,2.3574183,2,18,2.9444389,.69314718,1
15.775043,2.7584291,2,20,3.0445225,.69314718,1
8.7728558,2.1716623,2,21,3.0910425,.69314718,1
7.2696047,1.9837019,2,41,3.7376697,.69314718,0
11.267887,2.4219568,2,17,2.8903718,.69314718,1
12.181499,2.4999185,2,22,3.1354942,.69314718,1
12.009196,2.4856727,2,35,3.583519,.69314718,1
9.5777044,2.259438,2,39,3.6888795,.69314718,1
7.0424299,1.9519533,2,12,2.5649493,.69314718,1
6.1797323,1.821275,2,23,3.1780539,.69314718,0
9.1846628,2.217535,2,25,3.2580965,.69314718,1
6.1034393,1.8088524,2,30,3.4339871,.69314718,1
10.971364,2.3952887,2,18,2.9444389,.69314718,1
8.3747807,2.1252248,2,33,3.5263605,.69314718,1
3.4670422,1.2433019,2,20,3.0445225,.69314718,1
9.9651947,2.2990985,2,29,3.4011974,.69314718,1
6.1705098,1.8197814,2,4,1.6094379,.69314718,0
9.155158,2.2143176,2,13,2.6390574,.69314718,1
12.157458,2.4979429,2,35,3.583519,.69314718,1
11.377897,2.4316726,2,33,3.5263605,.69314718,1
7.0424299,1.9519533,2,4,1.6094379,.69314718,1
14.826168,2.6963937,2,34,3.5553482,.69314718,0
10.457023,2.3472738,2,21,3.0910425,.69314718,0
10.563644,2.3574183,2,31,3.4657359,.69314718,0
6.7031941,1.9025842,2,15,2.7725887,.69314718,1
8.2631178,2.1118019,2,16,2.8332133,.69314718,0
5.6339436,1.7288096,2,15,2.7725887,.69314718,0
13.145869,2.5761075,2,34,3.5553482,.69314718,1
8.9204111,2.1883421,2,23,3.1780539,.69314718,1
9.155158,2.2143176,2,8,2.1972246,.69314718,1
7.1832786,1.9717559,2,24,3.2188759,.69314718,1
6.139554,1.8147521,2,22,3.1354942,.69314718,0
13.771862,2.6226275,2,45,3.8286414,.69314718,1
12.305718,2.5100641,2,15,2.7725887,.69314718,1
9.6370087,2.2656107,2,23,3.1780539,.69314718,1
7.8875213,2.0652819,2,18,2.9444389,.69314718,1
12.112979,2.4942775,2,33,3.5263605,.69314718,1
8.4509153,2.1342747,2,37,3.6375861,.69314718,0
6.6717758,1.897886,2,32,3.4965076,.69314718,0
12.157458,2.4979429,2,34,3.5553482,.69314718,0
10.253184,2.3275883,2,15,2.7725887,.69314718,1
6.6511836,1.8947948,2,31,3.4657359,.69314718,0
8.7070036,2.1641278,2,11,2.4849067,.69314718,1
8.1543922,2.0985568,2,21,3.0910425,.69314718,1
7.6962018,2.0407269,2,11,2.4849067,.69314718,1
8.1543922,2.0985568,2,14,2.7080503,.69314718,0
8.0283699,2.0829816,2,21,3.0910425,.69314718,1
9.8594017,2.2884254,2,24,3.2188759,.69314718,1
11.737383,2.4627788,2,23,3.1780539,.69314718,1
14.826168,2.6963937,2,27,3.3322046,.69314718,1
7.5119252,2.0164919,2,23,3.1780539,.69314718,1
12.750504,2.5455709,2,20,3.0445225,.69314718,1
5.3656607,1.6800195,2,26,3.2958369,.69314718,1
11.416149,2.435029,2,23,3.1780539,.69314718,1
10.378317,2.3397188,2,7,2.0794415,.69314718,1
10.674841,2.3678896,2,24,3.2188759,.69314718,0
7.1243439,1.9635177,2,22,3.1354942,.69314718,0
11.443949,2.4374611,2,25,3.2580965,.69314718,1
10.563644,2.3574183,2,20,3.0445225,.69314718,1
11.119626,2.4087117,2,15,2.7725887,.69314718,1
12.305718,2.5100641,2,16,2.8332133,.69314718,1
4.4266701,1.4876477,2,29,3.4011974,.69314718,1
6.4387932,1.8623412,2,24,3.2188759,.69314718,1
7.5477943,2.0212555,2,9,2.3025851,.69314718,1
8.0218458,2.0821686,2,18,2.9444389,.69314718,0
9.3899059,2.2396352,2,13,2.6390574,.69314718,1
8.4509153,2.1342747,2,18,2.9444389,.69314718,0
8.7513924,2.1692128,2,23,3.1780539,.69314718,1
7.9814205,2.0771165,2,20,3.0445225,.69314718,1
8.4509153,2.1342747,2,4,1.6094379,.69314718,1
7.3554263,1.9954383,2,10,2.3978953,.69314718,0
12.417102,2.5190747,2,29,3.4011974,.69314718,1
12.072737,2.4909496,2,14,2.7080503,.69314718,1
11.132228,2.4098444,2,24,3.2188759,.69314718,1
8.8957005,2.1855681,2,14,2.7080503,.69314718,1
5.7100782,1.7422327,2,2,1.0986123,.69314718,1
7.5613456,2.0230491,2,9,2.3025851,.69314718,0
16.901831,2.8274219,2,24,3.2188759,.69314718,1
5.6339436,1.7288096,2,6,1.9459101,.69314718,1
8.0283699,2.0829816,2,34,3.5553482,.69314718,1
6.6717758,1.897886,2,33,3.5263605,.69314718,1
9.6370087,2.2656107,2,24,3.2188759,.69314718,1
7.4424396,2.0071988,2,11,2.4849067,.69314718,1
8.3613358,2.1236181,2,4,1.6094379,.69314718,1
12.898766,2.5571315,2,17,2.8903718,.69314718,0
5.6339436,1.7288096,2,3,1.3862944,.69314718,1
9.8594017,2.2884254,2,30,3.4339871,.69314718,1
10.704493,2.3706634,2,22,3.1354942,.69314718,1
16.760983,2.8190536,2,17,2.8903718,.69314718,1
7.1165605,1.9624245,2,13,2.6390574,.69314718,0
8.0977564,2.0915871,2,15,2.7725887,.69314718,1
4.6198339,1.5303588,2,27,3.3322046,.69314718,1
8.7474394,2.168761,2,34,3.5553482,.69314718,1
9.6370087,2.2656107,2,21,3.0910425,.69314718,1
7.7096076,2.0424674,2,16,2.8332133,.69314718,1
12.206879,2.5019996,2,31,3.4657359,.69314718,1
7.8875213,2.0652819,2,16,2.8332133,.69314718,0
9.155158,2.2143176,2,21,3.0910425,.69314718,1
8.8957005,2.1855681,2,16,2.8332133,.69314718,0
5.4774451,1.7006388,2,8,2.1972246,.69314718,1
8.1543922,2.0985568,2,27,3.3322046,.69314718,1
11.119626,2.4087117,2,22,3.1354942,.69314718,1
10.517535,2.3530438,2,23,3.1780539,.69314718,1
7.0424299,1.9519533,2,13,2.6390574,.69314718,1
5.2583475,1.6598169,2,7,2.0794415,.69314718,1
8.1543922,2.0985568,2,26,3.2958369,.69314718,0
6.8200374,1.9198649,2,20,3.0445225,.69314718,0
11.267887,2.4219568,2,25,3.2580965,.69314718,1
3.6348023,1.2905548,2,4,1.6094379,.69314718,1
6.5729346,1.8829604,2,2,1.0986123,.69314718,1
8.7566509,2.1698136,2,19,2.9957323,.69314718,1
4.3461852,1.4692985,2,12,2.5649493,.69314718,1
9.1395082,2.2126067,2,39,3.6888795,.69314718,1
11.712672,2.4606714,2,30,3.4339871,.69314718,1
9.6033134,2.2621081,2,32,3.4965076,.69314718,1
7.3241272,1.991174,2,10,2.3978953,.69314718,1
8.2176352,2.1062825,2,27,3.3322046,.69314718,0
7.0424299,1.9519533,2,20,3.0445225,.69314718,0
12.557764,2.5303392,2,24,3.2188759,.69314718,1
9.6246538,2.264328,2,27,3.3322046,.69314718,0
9.2196522,2.2213373,2,30,3.4339871,.69314718,0
14.465531,2.6717687,2,35,3.583519,.69314718,1
8.4509153,2.1342747,2,15,2.7725887,.69314718,1
6.4790354,1.8685716,2,3,1.3862944,.69314718,1
13.24738,2.5837998,2,23,3.1780539,.69314718,1
7.7466726,2.0472634,2,3,1.3862944,.69314718,1
7.7466726,2.0472634,2,5,1.7917595,.69314718,1
8.9005041,2.1861079,2,14,2.7080503,.69314718,1
8.2225132,2.1068759,2,25,3.2580965,.69314718,1
10.897233,2.3885088,2,18,2.9444389,.69314718,1
10.563644,2.3574183,2,15,2.7725887,.69314718,1
10.563644,2.3574183,2,38,3.6635616,.69314718,1
6.3381867,1.8465928,2,11,2.4849067,.69314718,1
9.155158,2.2143176,2,29,3.4011974,.69314718,1
7.413084,2.0032465,2,22,3.1354942,.69314718,1
7.1165605,1.9624245,2,4,1.6094379,.69314718,1
11.457792,2.4386702,2,8,2.1972246,.69314718,0
11.712969,2.4606967,2,31,3.4657359,.69314718,1
8.1445894,2.0973539,2,20,3.0445225,.69314718,0
7.3241272,1.991174,2,4,1.6094379,.69314718,0
7.6292987,2.031996,2,14,2.7080503,.69314718,0
6.8618546,1.9259777,2,19,2.9957323,.69314718,1
13.591889,2.6094732,2,21,3.0910425,.69314718,1
10.563644,2.3574183,2,30,3.4339871,.69314718,1
6.1973381,1.8241198,2,0,0,.69314718,0
8.2297096,2.1077507,2,30,3.4339871,.69314718,0
7.6292987,2.031996,2,21,3.0910425,.69314718,0
6.0564895,1.8011303,2,1,.69314718,.69314718,1
5.4461455,1.6949081,2,7,2.0794415,.69314718,0
12.877586,2.5554883,2,24,3.2188759,.69314718,1
13.891334,2.6312652,2,20,3.0445225,.69314718,1
9.9767752,2.3002598,2,35,3.583519,.69314718,0
11.193757,2.4153562,2,28,3.3672957,.69314718,0
7.605824,2.0289142,2,18,2.9444389,.69314718,1
11.972131,2.4825816,2,31,3.4657359,.69314718,1
8.9781342,2.194792,2,19,2.9957323,.69314718,1
9.155158,2.2143176,2,34,3.5553482,.69314718,1
5.5556946,1.7148235,2,33,3.5263605,.69314718,0
7.0424299,1.9519533,2,2,1.0986123,.69314718,1
11.972131,2.4825816,2,16,2.8332133,.69314718,1
10.378317,2.3397188,2,22,3.1354942,.69314718,1
5.7784038,1.7541275,2,0,0,.69314718,1
24.734535,3.2082005,2,46,3.8501475,.69314718,1
5.6339436,1.7288096,2,6,1.9459101,.69314718,1
5.9375505,1.7812967,2,20,3.0445225,.69314718,0
4.8926353,1.5877311,2,5,1.7917595,.69314718,1
17.214828,2.8457711,2,25,3.2580965,.69314718,1
7.413084,2.0032465,2,10,2.3978953,.69314718,0
17.272486,2.8491149,2,38,3.6635616,.69314718,1
6.7070761,1.9031631,2,22,3.1354942,.69314718,0
9.6370087,2.2656107,2,13,2.6390574,.69314718,1
7.9065356,2.0676897,2,31,3.4657359,.69314718,0
7.8578691,2.0615156,2,15,2.7725887,.69314718,1
4.577579,1.5211703,2,26,3.2958369,.69314718,0
7.3032603,1.9883208,2,22,3.1354942,.69314718,0
14.826168,2.6963937,2,23,3.1780539,.69314718,1
10.141099,2.3165963,2,25,3.2580965,.69314718,0
9.1361246,2.2122364,2,14,2.7080503,.69314718,1
7.1165605,1.9624245,2,27,3.3322046,.69314718,0
10.649562,2.3655188,2,20,3.0445225,.69314718,1
11.420156,2.43538,2,33,3.5263605,.69314718,1
8.8957005,2.1855681,2,18,2.9444389,.69314718,1
8.0484915,2.0854847,2,9,2.3025851,.69314718,0
7.0424299,1.9519533,2,5,1.7917595,.69314718,1
9.8594017,2.2884254,2,21,3.0910425,.69314718,1
7.2327657,1.9786215,2,1,.69314718,.69314718,1
7.0424299,1.9519533,2,14,2.7080503,.69314718,0
13.380616,2.5938072,2,21,3.0910425,.69314718,0
8.4469128,2.133801,2,16,2.8332133,.69314718,0
9.3899059,2.2396352,2,32,3.4965076,.69314718,1
5.6339436,1.7288096,2,5,1.7917595,.69314718,1
8.2161674,2.1061039,2,12,2.5649493,.69314718,1
10.658813,2.3663871,2,20,3.0445225,.69314718,1
11.127039,2.4093781,2,20,3.0445225,.69314718,1
7.0424299,1.9519533,2,24,3.2188759,.69314718,1
10.0159,2.3041737,2,18,2.9444389,.69314718,1
14.08486,2.6451004,2,27,3.3322046,.69314718,1
7.4649754,2.0102222,2,6,1.9459101,.69314718,0
10.986191,2.3966391,2,19,2.9957323,.69314718,1
10.986191,2.3966391,2,17,2.8903718,.69314718,1
6.0907497,1.8067712,2,30,3.4339871,.69314718,1
10.532345,2.3544509,2,27,3.3322046,.69314718,0
10.563644,2.3574183,2,26,3.2958369,.69314718,1
16.901831,2.8274219,2,33,3.5263605,.69314718,1
7.8875213,2.0652819,2,10,2.3978953,.69314718,1
8.4509153,2.1342747,2,27,3.3322046,.69314718,1
13.771862,2.6226275,2,39,3.6888795,.69314718,1
6.2590432,1.8340273,2,1,.69314718,.69314718,1
13.380616,2.5938072,2,24,3.2188759,.69314718,0
14.160994,2.6504912,2,31,3.4657359,.69314718,1
2.1909781,.78434807,2,36,3.6109178,.69314718,0
8.4509153,2.1342747,2,17,2.8903718,.69314718,1
7.7466726,2.0472634,2,13,2.6390574,.69314718,0
9.2092743,2.220211,2,26,3.2958369,.69314718,1
7.2537026,1.9815121,2,21,3.0910425,.69314718,1
5.1891584,1.6465715,2,27,3.3322046,.69314718,0
7.1036687,1.9606113,2,24,3.2188759,.69314718,0
6.6198835,1.8900778,2,15,2.7725887,.69314718,1
12.602242,2.5338748,2,32,3.4965076,.69314718,1
7.9814205,2.0771165,2,6,1.9459101,.69314718,1
7.2196174,1.976802,2,13,2.6390574,.69314718,0
10.430209,2.3447063,2,20,3.0445225,.69314718,1
10.641894,2.3647985,2,10,2.3978953,.69314718,1
10.00025,2.3026102,2,20,3.0445225,.69314718,1
8.4509153,2.1342747,2,22,3.1354942,.69314718,1
8.5413637,2.1449206,2,14,2.7080503,.69314718,1
13.380616,2.5938072,2,46,3.8501475,.69314718,1
8.5452099,2.145371,2,11,2.4849067,.69314718,1
9.8945398,2.2919831,2,21,3.0910425,.69314718,1
12.447072,2.5214853,2,22,3.1354942,.69314718,0
11.267887,2.4219568,2,20,3.0445225,.69314718,1
8.0061312,2.0802076,2,34,3.5553482,.69314718,1
5.2113981,1.6508482,2,15,2.7725887,.69314718,1
10.296625,2.3318162,2,13,2.6390574,.69314718,1
7.7118125,2.0427532,2,29,3.4011974,.69314718,1
9.3899059,2.2396352,2,25,3.2580965,.69314718,1
8.5991774,2.1516666,2,23,3.1780539,.69314718,1
8.7639122,2.1706424,2,28,3.3672957,.69314718,1
8.3026533,2.1165752,2,45,3.8286414,.69314718,1
7.0980649,1.9598222,2,38,3.6635616,.69314718,1
10.328897,2.3349454,2,14,2.7080503,.69314718,1
12.568028,2.5311561,2,14,2.7080503,.69314718,1
6.7759595,1.913381,2,15,2.7725887,.69314718,0
7.7096076,2.0424674,2,29,3.4011974,.69314718,0
8.5135155,2.141655,2,16,2.8332133,.69314718,1
10.378317,2.3397188,2,32,3.4965076,.69314718,1
10.256742,2.3279352,2,6,1.9459101,.69314718,1
9.8232861,2.2847557,2,40,3.713572,.69314718,1
7.179275,1.9711984,2,31,3.4657359,.69314718,0
6.1034393,1.8088524,2,24,3.2188759,.69314718,1
7.9814205,2.0771165,2,26,3.2958369,.69314718,0
9.5777044,2.259438,2,25,3.2580965,.69314718,1
5.2818222,1.6642711,2,15,2.7725887,.69314718,0
8.095088,2.0912576,2,32,3.4965076,.69314718,0
9.2960072,2.2295849,2,27,3.3322046,.69314718,0
8.8957005,2.1855681,2,12,2.5649493,.69314718,1
9.8974686,2.292279,2,29,3.4011974,.69314718,1
20.946714,3.0419817,2,27,3.3322046,.69314718,1
6.3381867,1.8465928,2,2,1.0986123,.69314718,1
8.5196218,2.1423719,2,22,3.1354942,.69314718,1
9.6370087,2.2656107,2,23,3.1780539,.69314718,0
7.5776544,2.0252037,2,29,3.4011974,.69314718,1
10.112206,2.3137434,2,11,2.4849067,.69314718,1
9.3389654,2.2341955,3,38,3.6635616,1.0986123,1
8.4509153,2.1342747,3,5,1.7917595,1.0986123,1
7.7466726,2.0472634,3,1,.69314718,1.0986123,0
12.413549,2.5187886,3,19,2.9957323,1.0986123,0
11.972131,2.4825816,3,16,2.8332133,1.0986123,1
10.786185,2.3782661,3,9,2.3025851,1.0986123,1
14.165344,2.6507983,3,9,2.3025851,1.0986123,1
7.605824,2.0289142,3,20,3.0445225,1.0986123,0
13.771862,2.6226275,3,26,3.2958369,1.0986123,1
10.141099,2.3165963,3,22,3.1354942,1.0986123,1
9.6370087,2.2656107,3,4,1.6094379,1.0986123,1
12.253827,2.5058384,3,13,2.6390574,1.0986123,1
13.771862,2.6226275,3,25,3.2580965,1.0986123,1
27.387226,3.3100767,3,35,3.583519,1.0986123,1
4.5071549,1.5056661,3,3,1.3862944,1.0986123,0
7.7072349,2.0421596,3,30,3.4339871,1.0986123,1
14.826168,2.6963937,3,22,3.1354942,1.0986123,1
9.5745907,2.2591128,3,15,2.7725887,1.0986123,1
10.172399,2.3196781,3,33,3.5263605,1.0986123,0
7.1676288,1.9695749,3,5,1.7917595,1.0986123,1
15.722633,2.7551012,3,46,3.8501475,1.0986123,1
9.2960072,2.2295849,3,6,1.9459101,1.0986123,0
17.214828,2.8457711,3,24,3.2188759,1.0986123,1
11.267887,2.4219568,3,19,2.9957323,1.0986123,1
8.5991774,2.1516666,3,22,3.1354942,1.0986123,1
6.6903081,1.9006599,3,12,2.5649493,1.0986123,1
5.3522463,1.6775163,3,4,1.6094379,1.0986123,1
9.8594017,2.2884254,3,16,2.8332133,1.0986123,1
8.3100672,2.1174676,3,42,3.7612002,1.0986123,0
9.1922235,2.2183578,3,18,2.9444389,1.0986123,1
10.563644,2.3574183,3,10,2.3978953,1.0986123,1
14.08486,2.6451004,3,15,2.7725887,1.0986123,1
11.119626,2.4087117,3,8,2.1972246,1.0986123,0
10.463038,2.3478489,3,23,3.1780539,1.0986123,0
8.4509153,2.1342747,3,12,2.5649493,1.0986123,1
8.8957005,2.1855681,3,11,2.4849067,1.0986123,1
10.172399,2.3196781,3,21,3.0910425,1.0986123,0
7.7466726,2.0472634,3,6,1.9459101,1.0986123,1
13.536692,2.6054039,3,39,3.6888795,1.0986123,1
8.4509153,2.1342747,3,19,2.9957323,1.0986123,1
10.563644,2.3574183,3,9,2.3025851,1.0986123,1
10.658813,2.3663871,3,20,3.0445225,1.0986123,0
13.380616,2.5938072,3,20,3.0445225,1.0986123,1
17.60462,2.8681614,3,23,3.1780539,1.0986123,1
9.2862415,2.228534,3,34,3.5553482,1.0986123,1
5.3120041,1.6699692,3,3,1.3862944,1.0986123,0
14.826168,2.6963937,3,26,3.2958369,1.0986123,1
15.079084,2.7133086,3,29,3.4011974,1.0986123,1
6.3011212,1.8407276,3,4,1.6094379,1.0986123,0
9.6370087,2.2656107,3,17,2.8903718,1.0986123,0
7.8875213,2.0652819,3,15,2.7725887,1.0986123,0
9.4368563,2.2446229,3,14,2.7080503,1.0986123,1
11.893881,2.4760242,3,18,2.9444389,1.0986123,1
11.860934,2.4732502,3,8,2.1972246,1.0986123,0
8.4509153,2.1342747,3,31,3.4657359,1.0986123,1
6.7607322,1.9111311,3,3,1.3862944,1.0986123,1
9.8594017,2.2884254,3,15,2.7725887,1.0986123,1
12.072737,2.4909496,3,24,3.2188759,1.0986123,1
12.351338,2.5137644,3,4,1.6094379,1.0986123,1
15.493345,2.7404106,3,20,3.0445225,1.0986123,1
9.7852707,2.2808783,3,18,2.9444389,1.0986123,1
7.8875213,2.0652819,3,8,2.1972246,1.0986123,0
8.1543922,2.0985568,3,11,2.4849067,1.0986123,1
7.0424299,1.9519533,3,33,3.5263605,1.0986123,1
15.157991,2.7185278,3,31,3.4657359,1.0986123,1
9.4406624,2.2450261,3,9,2.3025851,1.0986123,1
6.5494599,1.8793826,3,2,1.0986123,1.0986123,1
15.226875,2.723062,3,29,3.4011974,1.0986123,1
7.7466726,2.0472634,3,10,2.3978953,1.0986123,1
5.9156408,1.7775998,3,3,1.3862944,1.0986123,0
5.3522463,1.6775163,3,14,2.7080503,1.0986123,1
7.7096076,2.0424674,3,7,2.0794415,1.0986123,0
4.7888522,1.5662907,3,23,3.1780539,1.0986123,0
9.5067167,2.2519987,3,12,2.5649493,1.0986123,1
9.4887476,2.2501066,3,12,2.5649493,1.0986123,1
6.8959475,1.930934,3,7,2.0794415,1.0986123,1
7.5229459,2.0179577,3,9,2.3025851,1.0986123,0
10.563644,2.3574183,3,30,3.4339871,1.0986123,1
7.5119252,2.0164919,3,10,2.3978953,1.0986123,1
6.3381867,1.8465928,3,18,2.9444389,1.0986123,0
7.5404706,2.0202847,3,17,2.8903718,1.0986123,1
13.343552,2.5910332,3,18,2.9444389,1.0986123,1
6.6582971,1.8958638,3,16,2.8332133,1.0986123,0
8.7474394,2.168761,3,10,2.3978953,1.0986123,0
9.6442738,2.2663643,3,18,2.9444389,1.0986123,1
6.5353746,1.8772297,3,3,1.3862944,1.0986123,0
8.8957005,2.1855681,3,11,2.4849067,1.0986123,1
7.3241272,1.991174,3,6,1.9459101,1.0986123,1
18.779812,2.9327824,3,43,3.7841897,1.0986123,1
7.0424299,1.9519533,3,5,1.7917595,1.0986123,1
10.081795,2.3107314,3,10,2.3978953,1.0986123,0
19.718803,2.9815726,3,24,3.2188759,1.0986123,1
8.8957005,2.1855681,3,18,2.9444389,1.0986123,1
22.535774,3.115104,3,15,2.7725887,1.0986123,1
11.408736,2.4343793,3,22,3.1354942,1.0986123,1
12.676373,2.5397398,3,35,3.583519,1.0986123,1
8.0899334,2.0906205,3,9,2.3025851,1.0986123,1
2.4789352,.90782911,3,16,2.8332133,1.0986123,0
11.267887,2.4219568,3,2,1.0986123,1.0986123,1
15.226875,2.723062,3,22,3.1354942,1.0986123,1
8.5515213,2.1461091,3,15,2.7725887,1.0986123,1
5.9022269,1.7753297,3,2,1.0986123,1.0986123,1
24.463177,3.1971691,3,16,2.8332133,1.0986123,0
11.161867,2.4125032,3,29,3.4011974,1.0986123,1
6.3381867,1.8465928,3,1,.69314718,1.0986123,1
14.826168,2.6963937,3,32,3.4965076,1.0986123,1
7.9814205,2.0771165,3,2,1.0986123,1.0986123,0
10.197587,2.3221512,3,30,3.4339871,1.0986123,0
9.3899059,2.2396352,3,13,2.6390574,1.0986123,0
12.181499,2.4999185,3,37,3.6375861,1.0986123,1
7.156631,1.9680394,3,9,2.3025851,1.0986123,0
10.081795,2.3107314,3,15,2.7725887,1.0986123,1
5.7010145,1.7406441,3,1,.69314718,1.0986123,1
9.6370087,2.2656107,3,15,2.7725887,1.0986123,1
7.8578691,2.0615156,3,24,3.2188759,1.0986123,0
15.493345,2.7404106,3,32,3.4965076,1.0986123,1
11.564411,2.4479325,3,19,2.9957323,1.0986123,1
10.0159,2.3041737,3,26,3.2958369,1.0986123,0
10.463038,2.3478489,3,25,3.2580965,1.0986123,0
10.081795,2.3107314,3,6,1.9459101,1.0986123,0
11.724693,2.4616971,3,14,2.7080503,1.0986123,0
11.972131,2.4825816,3,23,3.1780539,1.0986123,1
7.7466726,2.0472634,3,13,2.6390574,1.0986123,0
9.8030624,2.2826948,3,20,3.0445225,1.0986123,1
6.6717758,1.897886,3,2,1.0986123,1.0986123,0
18.384447,2.911505,3,28,3.3672957,1.0986123,1
11.549584,2.4466496,3,29,3.4011974,1.0986123,0
12.486038,2.524611,3,30,3.4339871,1.0986123,1
6.3381867,1.8465928,3,1,.69314718,1.0986123,1
8.7474394,2.168761,3,22,3.1354942,1.0986123,0
9.4368563,2.2446229,3,8,2.1972246,1.0986123,1
