capital,labor,output,wage
3.4141889,47,3.3618841,59.192959
.82002014,43,2.124913,36.935612
13.422252,349,30.641188,62.717583
.53221983,48,2.544591,33.01585
.54139173,26,.66756779,45.487816
.63707727,142,3.7823057,19.825962
5.2520456,266,30.970385,51.724205
5.4753942,45,3.4246004,28.865402
.022805881,9,.60113323,31.151518
1.0877414,45,1.7325032,24.293221
.78481972,49,2.199528,35.519093
.77267313,219,7.3965416,29.967522
11.366996,69,6.3333416,30.02342
17.179026,923,48.452084,40.903732
1.2716757,44,7.3325863,46.056847
.41695097,30,1.3445554,39.488876
.70524704,34,2.9273331,45.057652
.97569501,80,3.7860239,30.007084
6.3271441,100,5.3539281,20.096443
34.520912,642,79.048401,62.165955
8.874958,108,8.5866613,33.556969
1.6554095,76,2.8152866,28.380133
.30217791,171,4.2592459,22.676861
9.7034063,282,24.506653,61.003796
7.5023909,239,16.647053,30.883574
.53792131,29,1.1720239,39.03841
.83315831,61,3.3931184,40.759609
.57609636,81,3.9508708,39.940903
1.3192706,33,2.0480671,28.792795
2.2825711,157,10.283221,39.553452
2.0939269,35,2.4466743,31.304962
46.148689,938,108.77785,81.149887
1.5473294,180,9.2120886,47.88134
23.788763,673,26.240396,26.520908
1.6749927,42,2.7758722,35.176781
1.194334,63,1.9851031,26.374702
12.282206,280,9.3717289,28.638384
7.2143426,134,2.632344,33.037811
2.3167799,211,9.0455065,35.982819
.55552149,89,7.2773066,68.996986
2.1623445,80,5.3244295,46.364727
5.7113857,170,7.7941575,34.59523
1.5203093,14,1.3728148,25.125412
2.9094849,100,5.0289445,31.501862
.86687136,19,1.0894766,32.003914
31.646133,1780,95.812706,38.408474
5.1932955,157,15.955935,55.14209
1.1933424,282,11.821131,35.348942
93.276047,877,58.333969,33.863411
3.0686302,347,12.656024,31.537037
2.2471228,42,2.9865787,40.347046
1.660863,98,8.0241995,42.057835
.32622325,35,1.8894175,42.686657
6.0864429,273,19.386238,49.390049
4.828897,46,3.5324326,32.608318
.01388184,429,11.220741,26.100685
1.26647,99,5.8390489,37.837036
8.4525528,209,7.128325,25.948977
2.8775072,184,6.1833682,24.255499
12.544226,385,25.279079,39.752533
4.2785816,105,8.7725792,45.203335
1.2585375,61,3.3574221,38.930927
5.7468338,162,13.524383,57.433983
17.204557,155,18.257099,62.114838
66.389153,818,48.078018,45.581467
.75482506,26,3.1578708,30.509533
2.1893644,212,20.195599,54.912319
9.0145197,164,7.1739364,37.709499
8.4743671,145,14.05214,36.603958
1.0619608,61,4.0284605,44.022835
2.0691378,183,6.118917,28.36511
2.4035413,92,3.508883,26.799067
.041397631,22,.59344864,20.484728
1.4960161,37,1.3842177,26.906105
12.245766,369,24.287766,35.607491
27.343506,1237,78.73185,42.245712
2.4585731,141,6.5961051,32.870907
.21194595,20,1.0741074,35.745739
2.6477132,195,9.0028687,40.58403
15.66293,1,4.0155702,46.851212
3.5061562,14,2.9097328,53.774429
7.4190998,50,13.524879,38.74025
3.3948536,66,8.6637554,56.334885
6.1930361,204,9.7420769,35.189449
12.37913,939,36.036514,38.194321
.2426843,5,.35002068,21.268963
1.705731,38,5.3881369,38.553413
4.4808598,86,5.4451518,29.568096
4.222806,69,6.6409731,42.09819
.040158179,66,2.837101,33.994743
.10262646,37,1.6432629,41.585232
23.175236,534,27.797146,35.331291
2.0760787,93,3.7309923,32.29501
3.8118045,101,4.5406013,32.500584
.65393382,151,4.8935966,27.249853
2.0584786,23,1.2478783,30.856926
.41075373,53,2.2022548,46.668789
2.6734936,189,7.4614892,31.318075
.63782096,18,2.7072067,54.769932
1.2387064,50,2.3514845,36.752171
2.2954614,248,6.7540112,21.618408
4.968955,36,.7431742,29.705477
15.944036,262,18.805431,44.303249
23.262989,411,30.898745,51.538189
17.304705,433,40.274937,43.988155
1.7528301,47,4.0899372,34.599121
7.4342213,122,5.5802517,24.610195
.90182382,99,4.3026266,35.701168
.01189872,1,.86166567,31.482031
1.4236323,43,1.7087058,28.247932
.99478257,233,12.119342,45.577724
19.204287,517,33.752205,40.877407
.19608098,45,1.45561,24.623739
.01388184,3,.12939858,40.323448
.16955677,19,1.0926992,32.173519
.93181849,44,2.3214898,39.752533
1.6303725,40,2.4793959,39.079857
1.9761791,16,1.8723131,37.508854
1.2389542,40,2.2250607,40.802692
10.283964,377,14.05685,29.961151
6.5472708,74,4.1769466,32.138592
3.8184977,94,4.1759548,31.97253
.34109664,9,.80812138,37.92717
2.0964057,313,13.659235,37.563641
7.8400168,217,18.868643,50.161732
2.0017118,102,5.6104941,43.191189
.28383404,33,1.7292806,34.907425
.44248366,2,.28879184,35.448269
2.6137521,160,6.4034944,33.418671
1.464782,77,4.5872045,43.709129
2.5022016,83,2.6690316,27.521765
31.220507,170,12.533071,79.878906
1.9528774,216,10.121596,38.450489
3.6571212,52,3.8921208,37.541031
.73995167,50,2.1511893,26.509357
1.6397923,216,8.8298416,35.822411
3.4325328,132,7.2398753,36.201336
.36638141,13,2.6033409,39.75774
2.8071063,89,3.3564305,34.387077
61.93631,283,48.661552,59.430538
2.5911942,65,3.4236088,30.810818
9.7162962,157,16.349833,55.786304
13.08066,390,17.421461,40.566875
6.2450929,1162,35.570728,25.234657
.21145017,24,1.5490646,39.848316
.38026327,97,4.4283071,41.890858
61.781624,2092,121.08311,39.444256
.50048989,45,2.0265007,24.612722
1.0255209,66,3.384938,42.471813
1.9107361,114,5.8254151,41.897747
2.7852921,45,3.7024851,52.089943
3.0919321,71,4.0073895,31.178291
3.4412091,172,10.306026,41.383228
1.1616125,47,2.5616953,26.181398
1.5274981,113,5.1935434,39.043766
10.034835,376,17.628696,52.16964
1.6940802,44,2.2577822,34.118687
1.1316179,194,5.1613178,23.870272
1.5624506,66,5.0443134,34.524311
.00223101,2,.38621262,42.389191
.34010509,53,2.1682937,15.027746
7.7130976,226,15.938087,53.155945
3.6997583,309,11.99738,31.756395
1.0240335,151,4.8125362,22.159065
5.4002838,44,5.4922509,38.749718
.96429211,31,1.2957211,27.843649
.71541053,11,.51908165,29.589043
1.6524347,56,5.0914125,44.890228
1.6326035,83,3.8192413,36.123249
2.0411263,264,9.962451,34.930901
.041645519,8,2.1043382,32.566547
6.7537632,108,5.6620555,28.789673
5.7061801,267,13.388043,41.909199
.12543234,20,1.0889808,30.453287
6.6793962,175,9.1600313,40.148266
.52329582,78,2.9850914,32.251133
1.4608158,127,5.2627048,37.234241
2.2657146,178,5.5871925,25.57724
.95883852,57,2.8589153,36.196304
3.8663404,157,12.406895,40.305031
13.11239,312,17.131926,41.065533
9.5174885,26,1.1665703,69.437805
.70896542,171,4.8336072,22.753695
.59964591,31,1.2166442,32.929386
6.7242641,270,21.218887,44.724857
7.4855342,64,5.4104471,40.69268
1.2429205,49,1.8552088,28.669247
2.0512898,28,2.8472645,28.356855
2.7758722,92,7.7718472,40.594688
2.107065,236,8.0658445,29.608154
3.641752,30,2.5029454,65.740425
.33142892,37,1.5698874,32.125206
2.7062151,75,3.5279706,30.179789
.97767818,47,2.868583,41.756279
3.6588564,170,6.7929296,31.576797
46.971436,502,52.557388,62.259407
1.8953669,23,1.6286373,52.477222
3.5363986,26,1.9189165,30.252123
26.350954,367,22.51932,41.256458
2.145488,67,3.1868739,32.40329
6.8948126,231,18.572414,40.388893
357.00995,1273,156.30803,62.526707
.96602732,53,4.1786819,32.698105
8.2924166,66,6.7976394,56.286053
1.832155,30,4.8033648,56.808132
4.5532436,278,24.982107,31.761129
1.7228355,48,4.3070889,36.496647
2.9771588,28,1.5718704,36.785114
.7312755,46,2.1145017,16.624798
1.6330993,332,28.682112,71.131737
3.2560351,188,5.9035006,26.877598
1.6521869,580,86.626396,62.748642
6.5725555,69,27.455553,56.346462
2.4940212,107,5.374999,31.880512
.01016349,3,.026276341,40.73658
9.0772362,156,5.4986959,28.94433
1.2617601,137,5.5291862,28.708191
1786.8992,10661,1279.3717,105.49454
17.863697,129,16.764801,42.010635
13.129246,109,9.5155058,41.584118
2.2776134,104,5.4434166,25.718588
1.2203624,31,1.5126247,33.145298
1.8733047,72,5.6256156,33.482353
2.3135574,35,2.1107833,31.652008
10.11763,753,29.628805,32.162811
1.1484743,11,.86885446,43.200459
1.4481734,68,9.0117931,39.724373
2.0788054,131,3.894104,27.195988
3.3822112,63,2.672502,30.797382
4.7706432,54,2.5017059,26.717039
36.694412,72,13.661962,41.411411
1.8100928,75,3.1085405,34.810375
14.226655,218,19.10042,53.349796
4.5031695,124,6.3888688,38.486931
5.2267609,114,6.3990326,40.530014
2.7771118,52,3.9949954,63.626694
24.352467,156,16.225639,50.540955
.20004722,30,2.0815322,45.70266
6.2146025,155,6.5160365,30.464888
1.2344922,44,4.7044563,28.96369
6.1228828,118,6.0011692,35.278118
1.1261643,125,10.083174,40.659908
4.7805586,242,10.485499,28.495054
1.7798502,29,2.6172225,28.92621
9.4629526,44,4.8539343,38.079277
.543127,127,7.5817156,50.00742
1.2089596,35,1.5103937,29.081041
8.080966,168,10.91063,63.064407
15.327039,427,18.838896,33.362968
10.17291,205,41.553802,70.360847
2.8167741,43,2.7674439,43.847702
.61526299,41,1.6487163,29.897963
6.1323028,124,6.7411208,31.232132
11.6015,462,29.033373,49.231922
13.347637,120,18.210743,38.39402
2.9042792,142,9.4272566,49.438339
2.0329459,165,9.5792131,43.613617
.22706725,48,1.0800568,17.10441
7.8400168,108,3.6767044,19.261971
1.8120759,75,2.8993216,30.116974
1.223585,18,1.660863,35.03511
.050321668,5,.61129671,48.09066
7.6806235,219,11.275772,46.980236
1.3192706,27,2.2166324,42.903339
.61575878,95,4.1814084,32.818031
6.9007616,407,18.944994,42.444
.6192292,81,4.3683176,46.352383
.81258345,98,5.088438,30.348825
21.686409,462,57.43438,72.464371
1.0106475,53,3.2057135,48.932545
.32771057,49,1.8286846,29.028416
2.1370597,17,1.9635367,38.670841
1.8733047,56,3.2371955,38.883308
.57113856,114,4.4357438,33.549953
10.742561,93,9.9232845,55.737942
1.0262645,69,4.6747098,54.833988
1.3254678,42,2.1055777,27.574812
2.6273861,126,6.181385,35.151199
.49701944,104,4.7156115,34.308918
43.482136,2059,209.12943,47.407551
4.16009,155,7.9907341,33.996105
9.7933903,67,4.031683,31.378437
3.8023846,48,3.5919261,12.384171
1.6655729,91,6.7882199,46.595139
35.608406,1361,71.429253,30.531818
.93206638,78,3.1112673,32.759605
10.300573,306,16.867676,47.377777
.0032225701,118,3.3832028,24.990683
6.5113268,241,72.561867,45.773262
7.1637731,147,5.3120346,42.981102
6.4890165,219,23.509888,83.982651
5.1806531,126,6.2108841,39.148922
.31283718,15,.88695043,27.185278
2.6876233,91,4.6526475,38.891487
2.8269377,37,2.7295167,35.387981
1.3118339,47,2.526247,32.521061
.42959338,3,.43207228,24.458481
1.5213009,155,7.5680819,39.516865
.6809538,158,3.3772533,17.968887
15.791337,219,12.800296,43.294731
.64401823,37,1.8041434,34.898895
1.6787111,40,2.3197546,31.258928
.20351769,112,6.0016646,51.282246
1.8742963,370,17.217199,21.288391
5.4751463,203,7.6374907,30.472151
1.7255623,94,4.9518504,31.756296
1.3715754,89,2.4997227,21.006588
1.0607213,69,2.5230243,31.708353
3.0148382,69,4.7557697,42.191597
3.8839405,129,9.8042974,35.682701
1.2337486,165,4.7299891,21.336569
1.0111433,54,2.902544,34.084873
2.6918375,59,2.3090954,27.788891
.58997822,40,1.4791596,24.150682
3.3618841,44,2.1482148,26.614363
.30044267,13,2.2401819,57.949047
5.3207111,273,12.547448,30.74654
.01710441,31,4.0596948,42.229252
8.7262239,75,7.4076967,25.007143
13.290375,70,4.6025734,49.659458
.98288387,138,8.4381752,49.536678
1.1774775,57,2.7158828,30.921005
.95710331,85,7.5400701,63.241127
2.4650183,178,8.2696104,34.854996
.79275221,58,3.5658977,42.667
2.7989259,133,5.5909109,32.948868
.77168155,45,2.7927287,37.602161
34.850857,206,25.863108,39.382011
10.494671,41,11.972839,28.458986
5.4124303,196,8.7512608,36.136288
1.7783629,82,3.0359089,28.767338
.97767818,43,2.2845542,35.874863
.83514142,42,2.20399,30.50227
.69607514,17,1.0939386,28.944801
22.280602,485,37.541454,53.244217
.90653372,57,2.372803,29.029232
6.7426081,61,4.7009859,29.872778
.36613354,43,2.0592222,40.019833
.99850094,69,3.2171164,30.83536
.13212536,50,3.6137404,56.509003
.29895535,105,3.9355016,30.594336
2.0344331,70,3.5316889,41.330353
.23252082,42,4.0081334,74.508644
11.983251,333,28.301601,49.413475
1.1303784,98,3.0545006,25.603493
4.6578531,117,7.1154346,43.6922
.84704012,42,1.9226348,35.135456
1.5892228,74,4.5817509,34.835239
.46033174,35,.98660219,19.972853
4.4538398,108,8.5182438,32.934937
89.450859,720,52.925755,40.01738
1.6355783,44,3.0892053,42.315937
1.0230421,445,12.707833,26.345972
21.704008,2102,125.03944,43.928883
8.0011454,310,21.012148,32.8894
2.9632771,73,4.5906749,38.11393
8.6280594,158,12.450771,41.487068
.17426667,8,.55775249,43.96949
6.399528,49,3.6596,52.921986
.66880721,8,.4536387,34.239807
1.5049402,56,2.5386415,31.81403
2.14995,41,2.8623857,28.839895
6.1055307,187,7.5621324,32.490818
3.8799744,601,23.206718,39.697453
135.81026,534,137.29536,173.8252
1.4397451,60,2.8953552,36.439831
.64401823,56,3.0135987,45.846363
2.7376971,121,6.3794494,28.142679
.93603265,48,2.668288,36.754848
6.3980408,113,7.7430921,36.823738
2.8638732,45,3.4357555,33.916855
12.033324,321,22.718126,43.45026
2.699522,116,5.6957684,32.099625
13.537025,39,7.8256392,30.63665
.62393916,116,3.6623268,26.977274
12.442095,120,7.5527124,37.91272
.17748924,45,3.0334299,56.21595
.69433987,18,1.1008794,30.862305
2.9962463,106,5.5081158,32.931965
5.6789122,295,19.770468,59.111256
2.034929,51,2.7000179,29.39683
.37059554,18,1.3011746,44.689064
8.4240456,317,20.275171,47.091293
3.4719474,112,6.8308568,41.209507
4.9791183,52,4.5277109,33.87035
14.963384,474,22.414957,35.586346
1.5468336,20,1.1130261,37.753647
.34109664,84,3.7999058,31.608925
5.3244295,443,17.924431,34.6548
.14600721,43,2.5393851,49.301281
2.1497021,44,2.1628404,29.932718
1.4613116,53,1.8916485,33.858032
1.3772769,32,1.4630468,28.003836
.28780028,30,.96454,22.384466
.19905567,50,1.2186272,22.280354
3.8145313,41,1.8398396,30.968105
19.318316,1061,57.111378,38.089314
2.9803815,38,2.0763266,28.846563
5.3995399,35,2.5250075,35.57576
2.4050288,296,4.3368354,11.733739
2.3108306,60,3.6831496,51.829659
.80812138,74,3.459305,37.441429
21.214178,209,20.588999,51.29781
.93231428,34,2.017081,37.241829
4.2902322,295,15.56303,34.918034
2.9109724,80,3.6387773,32.256687
1.5366701,34,2.2434044,39.305141
.31333295,91,3.6209292,33.383419
.099403888,2,.08106003,17.228355
9.8751936,233,9.980051,31.615023
.79176068,127,4.3812079,31.868515
1.8646286,87,3.5292099,37.422836
1.2307738,14,2.0074131,37.555336
4.0658917,663,32.82262,37.462425
4.4801159,92,5.1747036,28.66362
4.3303905,81,6.4193592,45.09761
.79151279,86,5.6922979,41.824223
3.7349586,61,3.6648057,42.864643
4.1615772,19,3.0763149,48.769085
.88794196,67,2.5495486,50.403053
2.9265893,60,3.774621,31.915838
1.2144132,54,2.7959514,28.406359
2.6254029,20,1.4243759,33.477543
1.2763857,61,2.1090481,26.300732
1.953869,117,6.2418704,41.15398
1.3185269,46,7.9022374,66.720139
2.832391,161,6.8040848,36.618435
